Week,Cases,Dengue,Dengue Fever,Dengue Symptoms,Dengue Treatment,CBC Test,CBC Test Price,Platelet count,Fever,Headache,Platelet,CBC,Mosquito
9/10/2023,19227,66.0,63.1578947368421,54.54545454545454,100.0,71.42857142857143,50.0,60.0,68.0,80.0,64.28571428571429,70.0,100.0
9/17/2023,20155,74.0,63.1578947368421,48.484848484848484,100.0,57.14285714285714,100.0,60.0,70.0,80.0,64.28571428571429,70.0,90.0
9/24/2023,18689,61.0,57.89473684210527,42.42424242424242,80.0,57.14285714285714,50.0,60.0,60.0,80.0,57.14285714285714,60.0,75.0
10/1/2023,17416,54.0,63.1578947368421,33.33333333333333,40.0,42.857142857142854,50.0,40.0,62.0,80.0,50.0,60.0,55.00000000000001
10/8/2023,16429,42.0,31.57894736842105,27.27272727272727,40.0,57.14285714285714,50.0,40.0,44.0,60.0,35.714285714285715,60.0,45.0
10/15/2023,15739,35.0,26.31578947368421,21.21212121212121,20.0,57.14285714285714,50.0,40.0,44.0,80.0,42.857142857142854,60.0,40.0
10/22/2023,12872,27.0,21.052631578947366,21.21212121212121,20.0,42.857142857142854,50.0,20.0,42.0,60.0,28.57142857142857,50.0,35.0
10/29/2023,11939,28.999999999999996,26.31578947368421,18.181818181818183,20.0,42.857142857142854,50.0,20.0,44.0,60.0,28.57142857142857,50.0,40.0
11/5/2023,12283,35.0,31.57894736842105,18.181818181818183,20.0,42.857142857142854,50.0,20.0,42.0,60.0,35.714285714285715,50.0,35.0
11/12/2023,9880,45.0,31.57894736842105,18.181818181818183,20.0,42.857142857142854,50.0,20.0,44.0,60.0,28.57142857142857,50.0,45.0
11/19/2023,7232,25.0,26.31578947368421,12.121212121212121,20.0,42.857142857142854,50.0,20.0,38.0,80.0,21.428571428571427,40.0,45.0
11/26/2023,5768,23.0,31.57894736842105,12.121212121212121,20.0,42.857142857142854,50.0,20.0,38.0,80.0,21.428571428571427,50.0,40.0
12/3/2023,3809,14.000000000000002,21.052631578947366,6.0606060606060606,20.0,42.857142857142854,50.0,20.0,38.0,100.0,21.428571428571427,40.0,40.0
12/10/2023,2209,10.0,15.789473684210526,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,32.0,80.0,14.285714285714285,40.0,25.0
12/17/2023,1290,9.0,10.526315789473683,6.0606060606060606,20.0,28.57142857142857,50.0,20.0,30.0,80.0,14.285714285714285,40.0,25.0
12/24/2023,801,8.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,30.0,80.0,14.285714285714285,40.0,25.0
12/31/2023,471,7.000000000000001,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,26.0,80.0,14.285714285714285,30.0,20.0
1/7/2024,267,6.0,10.526315789473683,3.0303030303030303,20.0,28.57142857142857,50.0,20.0,28.000000000000004,60.0,7.142857142857142,30.0,20.0
